GridType,SeedSpacing,k,nTrain,Superpixels,Time,TrainingPrSuperpixels,TP,FP,TN,FN,TotalPixels,SuperpixelsProportion,TrainingPrPixels,FPR,FNR,Sensitivity,Specificity,FDR,FOR,Precision,NPV,Accuracy
square,10,3,7240,14480,39.33778476715088,0.5,53777,6332,1007229,1470,1068808,0.013547802785907292,0.006773901392953646,0.00624728062741167,0.026607779607942514,0.9733922203920575,0.9937527193725884,0.10534196210218104,0.0014573227494029438,0.894658037897819,0.9985426772505971,0.9927002791895271
square,10,4,7240,14480,10.376541137695312,0.5,53638,5608,1007953,1609,1068808,0.013547802785907292,0.006773901392953646,0.005532967428699407,0.029123753325972453,0.9708762466740275,0.9944670325713006,0.09465617932012288,0.001593760462457977,0.9053438206798772,0.998406239537542,0.9932476179070516
square,10,5,7240,14480,14.327348709106445,0.5,53644,4856,1008705,1603,1068808,0.013547802785907292,0.006773901392953646,0.0047910288576612555,0.029015150143899215,0.9709848498561008,0.9952089711423387,0.08300854700854701,0.0015866448647343186,0.916991452991453,0.9984133551352656,0.9939568191854852
square,20,3,1800,3600,30.69631004333496,0.5,53813,4686,1008875,1434,1068808,0.003368238261689658,0.001684119130844829,0.0046233033828255036,0.025956160515503104,0.9740438394844969,0.9953766966171745,0.08010393340057095,0.0014193677379890706,0.919896066599429,0.9985806322620109,0.9942739949551276
square,20,4,1800,3600,9.204150438308716,0.5,53727,3874,1009687,1520,1068808,0.003368238261689658,0.001684119130844829,0.003822167585374733,0.027512806125219468,0.9724871938747806,0.9961778324146253,0.06725577680943039,0.0015031541514249802,0.9327442231905696,0.998496845848575,0.9949532563379017
square,20,5,1800,3600,12.054950952529907,0.5,53727,3874,1009687,1520,1068808,0.003368238261689658,0.001684119130844829,0.003822167585374733,0.027512806125219468,0.9724871938747806,0.9961778324146253,0.06725577680943039,0.0015031541514249802,0.9327442231905696,0.998496845848575,0.9949532563379017
square,30,3,810,1620,23.444748163223267,0.5,53683,3755,1009806,1564,1068808,0.001515707217760346,0.000757853608880173,0.003704759752989707,0.02830922946042319,0.9716907705395768,0.9962952402470103,0.0653748389567882,0.00154641723602638,0.9346251610432118,0.9984535827639737,0.9950234279683535
square,30,4,810,1620,8.933000564575195,0.5,53678,3632,1009929,1569,1068808,0.001515707217760346,0.000757853608880173,0.003583405438843839,0.028399732112150886,0.9716002678878491,0.9964165945611562,0.06337462920956204,0.0015511647081852856,0.936625370790438,0.9984488352918147,0.9951338313335978
square,30,5,810,1620,10.633650779724121,0.5,53678,3632,1009929,1569,1068808,0.001515707217760346,0.000757853608880173,0.003583405438843839,0.028399732112150886,0.9716002678878491,0.9964165945611562,0.06337462920956204,0.0015511647081852856,0.936625370790438,0.9984488352918147,0.9951338313335978
square,40,3,450,900,23.099377632141113,0.5,55120,136817,876744,127,1068808,0.0008420595654224145,0.0004210297827112073,0.13498644876825372,0.0022987673538834687,0.9977012326461165,0.8650135512317463,0.7128224365286526,0.00014483316246061278,0.2871775634713474,0.9998551668375394,0.8718722165253254
