GridType,SeedSpacing,k,nTrain,Superpixels,Time,TrainingPrSuperpixels,TP,FP,TN,FN,TotalPixels,SuperpixelsProportion,TrainingPrPixels,FPR,FNR,Sensitivity,Specificity,FDR,FOR,Precision,NPV,Accuracy
square,10,3,713,1426,4.342092990875244,0.5,12544,306,90405,112,103367,0.01379550533535848,0.00689775266767924,0.0033733505308066276,0.008849557522123894,0.9911504424778761,0.9966266494691933,0.023813229571984437,0.0012373366328976877,0.9761867704280156,0.9987626633671023,0.9959561562200703
square,10,4,713,1426,3.2112109661102295,0.5,12544,306,90405,112,103367,0.01379550533535848,0.00689775266767924,0.0033733505308066276,0.008849557522123894,0.9911504424778761,0.9966266494691933,0.023813229571984437,0.0012373366328976877,0.9761867704280156,0.9987626633671023,0.9959561562200703
square,10,5,713,1426,3.3579132556915283,0.5,12544,306,90405,112,103367,0.01379550533535848,0.00689775266767924,0.0033733505308066276,0.008849557522123894,0.9911504424778761,0.9966266494691933,0.023813229571984437,0.0012373366328976877,0.9761867704280156,0.9987626633671023,0.9959561562200703
square,20,3,172,345,3.1394286155700684,0.5,12626,198,90513,30,103367,0.003337622258554471,0.0016639739955691855,0.002182756225816053,0.002370417193426043,0.997629582806574,0.9978172437741839,0.015439800374298191,0.00033133428315827837,0.9845601996257018,0.9996686657168418,0.9977942670291292
square,20,4,172,345,2.7628173828125,0.5,12626,198,90513,30,103367,0.003337622258554471,0.0016639739955691855,0.002182756225816053,0.002370417193426043,0.997629582806574,0.9978172437741839,0.015439800374298191,0.00033133428315827837,0.9845601996257018,0.9996686657168418,0.9977942670291292
square,20,5,172,345,3.0033257007598877,0.5,12626,198,90513,30,103367,0.003337622258554471,0.0016639739955691855,0.002182756225816053,0.002370417193426043,0.997629582806574,0.9978172437741839,0.015439800374298191,0.00033133428315827837,0.9845601996257018,0.9996686657168418,0.9977942670291292
square,30,3,80,160,3.3644049167633057,0.5,12656,340,90371,0,103367,0.0015478827865759866,0.0007739413932879933,0.0037481672564518083,0.0,1.0,0.9962518327435482,0.02616189596799015,0.0,0.9738381040320099,1.0,0.9967107490785261
square,30,4,80,160,2.446012258529663,0.5,12656,340,90371,0,103367,0.0015478827865759866,0.0007739413932879933,0.0037481672564518083,0.0,1.0,0.9962518327435482,0.02616189596799015,0.0,0.9738381040320099,1.0,0.9967107490785261
square,30,5,80,160,2.877389430999756,0.5,12656,340,90371,0,103367,0.0015478827865759866,0.0007739413932879933,0.0037481672564518083,0.0,1.0,0.9962518327435482,0.02616189596799015,0.0,0.9738381040320099,1.0,0.9967107490785261
square,40,3,48,96,3.8778860569000244,0.5,12656,9800,80911,0,103367,0.0009287296719455919,0.00046436483597279597,0.10803540915655213,0.0,1.0,0.8919645908434479,0.43640897755610975,0.0,0.5635910224438903,1.0,0.9051921793222208
square,40,4,48,96,2.774956464767456,0.5,12616,231,90480,40,103367,0.0009287296719455919,0.00046436483597279597,0.0025465489301187286,0.0031605562579013905,0.9968394437420987,0.9974534510698813,0.017980851560675644,0.0004418912947414936,0.9820191484393244,0.9995581087052585,0.9973782735302369
square,40,5,48,96,2.567152976989746,0.5,12616,231,90480,40,103367,0.0009287296719455919,0.00046436483597279597,0.0025465489301187286,0.0031605562579013905,0.9968394437420987,0.9974534510698813,0.017980851560675644,0.0004418912947414936,0.9820191484393244,0.9995581087052585,0.9973782735302369
hex,10,3,510,1020,4.319559335708618,0.5,12539,390,90321,117,103367,0.009867752764421913,0.004933876382210957,0.0042993683235770744,0.009244627054361567,0.9907553729456384,0.995700631676423,0.03016474592002475,0.0012937039739932329,0.9698352540799753,0.9987062960260068,0.9950951464200374
hex,10,4,510,1020,2.3016538619995117,0.5,12539,354,90357,117,103367,0.009867752764421913,0.004933876382210957,0.003902503555246883,0.009244627054361567,0.9907553729456384,0.9960974964447531,0.027456759481889397,0.0012931892035280854,0.9725432405181106,0.9987068107964719,0.9954434200470169
hex,10,5,510,1020,2.8264455795288086,0.5,12539,354,90357,117,103367,0.009867752764421913,0.004933876382210957,0.003902503555246883,0.009244627054361567,0.9907553729456384,0.9960974964447531,0.027456759481889397,0.0012931892035280854,0.9725432405181106,0.9987068107964719,0.9954434200470169
hex,20,3,135,270,3.0323846340179443,0.5,3452,9616,81095,9204,103367,0.0026120522023469774,0.0013060261011734887,0.10600698922953115,0.72724399494311,0.27275600505689,0.8939930107704689,0.7358432812978267,0.10192803907020011,0.2641567187021733,0.8980719609297999,0.8179302872289996
