GridType,SeedSpacing,k,nTrain,Superpixels,Time,TrainingPrSuperpixels,TP,FP,TN,FN,TotalPixels,SuperpixelsProportion,TrainingPrPixels,FPR,FNR,Sensitivity,Specificity,FDR,FOR,Precision,NPV,Accuracy
square,10,3,10000,26553,46.97684073448181,0.5,177513,96,2400780,8986,2587375,0.010262524759650225,0.0038649210106768443,3.998540532705562e-05,0.04818256398157631,0.9518174360184237,0.999960014594673,0.0005405131496714694,0.003728992773572206,0.9994594868503285,0.9962710072264278,0.9964898787381032
square,10,4,10000,26553,22.496917486190796,0.5,177419,92,2400784,9080,2587375,0.010262524759650225,0.0038649210106768443,3.831934677176164e-05,0.04868658813183985,0.9513134118681601,0.9999616806532282,0.0005182777405343894,0.0037678474801897534,0.9994817222594656,0.9962321525198102,0.9964550944490072
square,10,5,10000,26553,7.137190818786621,0.5,177439,85,2400791,9060,2587375,0.010262524759650225,0.0038649210106768443,3.540374429999717e-05,0.048579348950932716,0.9514206510490673,0.9999645962557,0.00047880849913251164,0.003759568537639879,0.9995211915008675,0.9962404314623601,0.996465529735736
square,20,3,3278,6557,43.0033655166626,0.5,178248,197,2400139,8207,2586791,0.0025348008401142575,0.0012672071303789134,8.20718432752748e-05,0.04401598240862407,0.955984017591376,0.9999179281567248,0.0011039816189862422,0.0034077329420274327,0.9988960183810137,0.9965922670579725,0.9967511870885588
square,20,4,3278,6557,11.41228461265564,0.5,178248,197,2400139,8207,2586791,0.0025348008401142575,0.0012672071303789134,8.20718432752748e-05,0.04401598240862407,0.955984017591376,0.9999179281567248,0.0011039816189862422,0.0034077329420274327,0.9988960183810137,0.9965922670579725,0.9967511870885588
square,20,5,3278,6557,22.745530128479004,0.5,177246,150,2400186,9209,2586791,0.0025348008401142575,0.0012672071303789134,6.249125122482852e-05,0.049389933227856585,0.9506100667721434,0.9999375087487752,0.0008455658526686058,0.0038221213209125113,0.9991544341473314,0.9961778786790875,0.9963820038031677
square,30,3,1458,2915,30.79898238182068,0.5,177278,237,2400142,9221,2586878,0.0011268409256254064,0.0005636137459903405,9.873440819137311e-05,0.04944262435723516,0.9505573756427649,0.9999012655918086,0.0013350984423851505,0.003827152654041753,0.9986649015576149,0.9961728473459582,0.996343855411813
square,30,4,1458,2915,11.16117000579834,0.5,177616,265,2400114,8883,2586878,0.0011268409256254064,0.0005636137459903405,0.00011039923278782226,0.047630282199904554,0.9523697178000955,0.9998896007672122,0.0014897600080952997,0.0036874267589374335,0.9985102399919047,0.9963125732410626,0.9964636909819481
square,30,5,1458,2915,46.446643590927124,0.5,177248,233,2400146,9251,2586878,0.0011268409256254064,0.0005636137459903405,9.706800467759467e-05,0.04960348312859587,0.9503965168714041,0.9999029319953224,0.001312816583183552,0.0038395498956792923,0.9986871834168164,0.9961604501043207,0.9963338046865758
square,40,3,840,1680,41.5319459438324,0.5,178878,377,2399959,7577,2586791,0.000649453318803104,0.000324726659401552,0.00015706134474506903,0.04063715105521439,0.9593628489447856,0.999842938655255,0.0021031491450726617,0.003147201121810847,0.9978968508549273,0.9968527988781891,0.9969251477989525
square,40,4,840,1680,11.652122259140015,0.5,178878,377,2399959,7577,2586791,0.000649453318803104,0.000324726659401552,0.00015706134474506903,0.04063715105521439,0.9593628489447856,0.999842938655255,0.0021031491450726617,0.003147201121810847,0.9978968508549273,0.9968527988781891,0.9969251477989525
square,40,5,840,1680,17.405805587768555,0.5,178878,377,2399959,7577,2586791,0.000649453318803104,0.000324726659401552,0.00015706134474506903,0.04063715105521439,0.9593628489447856,0.999842938655255,0.0021031491450726617,0.003147201121810847,0.9978968508549273,0.9968527988781891,0.9969251477989525
hex,10,3,10000,39405,29.94078302383423,0.5,176997,126,2401089,9510,2587722,0.01522767901652496,0.0038644027449625576,5.247343532336755e-05,0.050990043269153434,0.9490099567308465,0.9999475265646767,0.000711370064870175,0.0039450775512642295,0.9992886299351298,0.9960549224487357,0.9962762615149541
hex,10,4,10000,39405,21.73284602165222,0.5,176872,120,2401095,9635,2587722,0.01522767901652496,0.0038644027449625576,4.997470030796909e-05,0.05166025940045146,0.9483397405995485,0.999950025299692,0.000677996745615621,0.003996714688082033,0.9993220032543844,0.996003285311918,0.996230275122289
hex,10,5,10000,39405,9.641472339630127,0.5,176838,109,2401106,9669,2587722,0.01522767901652496,0.0038644027449625576,4.5393686113071926e-05,0.05184255818816452,0.9481574418118355,0.9999546063138869,0.0006160036621135142,0.004010743433128351,0.9993839963378864,0.9959892565668717,0.9962213869959756
hex,20,3,5194,10388,30.69932794570923,0.5,178448,161,2400619,8057,2587285,0.0040150196054937895,0.0020075098027468948,6.706153833337499e-05,0.043199914211415245,0.9568000857885848,0.9999329384616666,0.0009014103432637773,0.0033449911901808297,0.9990985896567363,0.9966550088098192,0.9968236974279988
hex,20,4,5194,10388,31.43150782585144,0.5,178361,122,2400658,8144,2587285,0.0040150196054937895,0.0020075098027468948,5.0816817867526385e-05,0.04366638964102839,0.9563336103589716,0.9999491831821324,0.0006835384882593861,0.003380933758773033,0.9993164615117406,0.996619066241227,0.9968051451618202
hex,20,5,5194,10388,38.488354206085205,0.5,177424,66,2400714,9081,2587285,0.0040150196054937895,0.0020075098027468948,2.7491065403743783e-05,0.04869038363582746,0.9513096163641726,0.9999725089345962,0.00037185193532029975,0.0037683703385557694,0.9996281480646797,0.9962316296614442,0.9964646337763331
hex,30,3,2272,4544,31.20609998703003,0.5,176478,301,2400177,9980,2586936,0.0017565181357405053,0.0008782590678702527,0.00012539169282117977,0.053524118031942854,0.9464758819680571,0.9998746083071788,0.0017026909304838245,0.0041408090842214845,0.9982973090695162,0.9958591909157786,0.9960258004063495
hex,30,4,2272,4544,10.429620027542114,0.5,177377,319,2400159,9081,2586936,0.0017565181357405053,0.0008782590678702527,0.00013289019936862576,0.048702656898604514,0.9512973431013955,0.9998671098006314,0.0017952007923644877,0.003769238432036659,0.9982047992076355,0.9962307615679633,0.9963663577297621
hex,30,5,2272,4544,13.691741704940796,0.5,176128,250,2400228,10330,2586936,0.0017565181357405053,0.0008782590678702527,0.00010414592427008287,0.0554012163597164,0.9445987836402836,0.9998958540757299,0.0014174103346222319,0.0042853148524117654,0.9985825896653777,0.9957146851475882,0.9959102196575408
hex,40,3,1259,2518,38.47506618499756,0.5,177720,210,2400169,8779,2586878,0.0009733740825813974,0.0004866870412906987,8.748618447336858e-05,0.04707263845918745,0.9529273615408126,0.9999125138155266,0.0011802394199966278,0.0036443293919171354,0.9988197605800033,0.9963556706080828,0.9965251550324368
hex,40,4,1259,2518,19.0615975856781,0.5,150101,201,2400178,36398,2586878,0.0009733740825813974,0.0004866870412906987,8.373677656736706e-05,0.19516458533289724,0.8048354146671027,0.9999162632234326,0.001337307554124363,0.014938175538132198,0.9986626924458757,0.9850618244618679,0.9858520579633056
hex,40,5,1259,2518,12.691189765930176,0.5,150101,201,2400178,36398,2586878,0.0009733740825813974,0.0004866870412906987,8.373677656736706e-05,0.19516458533289724,0.8048354146671027,0.9999162632234326,0.001337307554124363,0.014938175538132198,0.9986626924458757,0.9850618244618679,0.9858520579633056
square,10,3,10000,26553,1.1308112144470215,0.75,177513,96,2400780,8986,2587375,0.010262524759650225,0.0038649210106768443,3.998540532705562e-05,0.04818256398157631,0.9518174360184237,0.999960014594673,0.0005405131496714694,0.003728992773572206,0.9994594868503285,0.9962710072264278,0.9964898787381032
square,10,4,10000,26553,1.542616844177246,0.75,177419,92,2400784,9080,2587375,0.010262524759650225,0.0038649210106768443,3.831934677176164e-05,0.04868658813183985,0.9513134118681601,0.9999616806532282,0.0005182777405343894,0.0037678474801897534,0.9994817222594656,0.9962321525198102,0.9964550944490072
square,10,5,10000,26553,1.8192377090454102,0.75,177439,85,2400791,9060,2587375,0.010262524759650225,0.0038649210106768443,3.540374429999717e-05,0.048579348950932716,0.9514206510490673,0.9999645962557,0.00047880849913251164,0.003759568537639879,0.9995211915008675,0.9962404314623601,0.996465529735736
square,20,3,4918,6557,42.99349045753479,0.75,178248,197,2400139,8207,2586791,0.0025348008401142575,0.0019011972749248007,8.20718432752748e-05,0.04401598240862407,0.955984017591376,0.9999179281567248,0.0011039816189862422,0.0034077329420274327,0.9988960183810137,0.9965922670579725,0.9967511870885588
square,20,4,4918,6557,36.53892993927002,0.75,178248,197,2400139,8207,2586791,0.0025348008401142575,0.0019011972749248007,8.20718432752748e-05,0.04401598240862407,0.955984017591376,0.9999179281567248,0.0011039816189862422,0.0034077329420274327,0.9988960183810137,0.9965922670579725,0.9967511870885588
square,20,5,4918,6557,36.77152228355408,0.75,177246,150,2400186,9209,2586791,0.0025348008401142575,0.0019011972749248007,6.249125122482852e-05,0.049389933227856585,0.9506100667721434,0.9999375087487752,0.0008455658526686058,0.0038221213209125113,0.9991544341473314,0.9961778786790875,0.9963820038031677
square,30,3,2186,2915,56.25483179092407,0.75,177931,239,2400140,8568,2586878,0.0011268409256254064,0.0008450340526302361,9.956760994826234e-05,0.04594126510061716,0.9540587348993829,0.9999004323900518,0.0013414155020486053,0.0035570936784367385,0.9986585844979514,0.9964429063215633,0.9965955101090967
square,30,4,2186,2915,22.294503927230835,0.75,177661,265,2400114,8838,2586878,0.0011268409256254064,0.0008450340526302361,0.00011039923278782226,0.0473889940428635,0.9526110059571365,0.9998896007672122,0.00148938322673471,0.00366881531886065,0.9985106167732652,0.9963311846811393,0.9964810864679354
square,30,5,2186,2915,23.51277446746826,0.75,177081,249,2400130,9418,2586878,0.0011268409256254064,0.0008450340526302361,0.00010373361873270846,0.05049893028917045,0.9495010697108296,0.9998962663812673,0.0014041617323633903,0.003908616885822569,0.9985958382676366,0.9960913831141774,0.9962630630435606
square,40,3,1260,1680,35.24263620376587,0.75,178878,377,2399959,7577,2586791,0.000649453318803104,0.00048708998910232794,0.00015706134474506903,0.04063715105521439,0.9593628489447856,0.999842938655255,0.0021031491450726617,0.003147201121810847,0.9978968508549273,0.9968527988781891,0.9969251477989525
square,40,4,1260,1680,16.420016050338745,0.75,178878,377,2399959,7577,2586791,0.000649453318803104,0.00048708998910232794,0.00015706134474506903,0.04063715105521439,0.9593628489447856,0.999842938655255,0.0021031491450726617,0.003147201121810847,0.9978968508549273,0.9968527988781891,0.9969251477989525
square,40,5,1260,1680,16.729734182357788,0.75,178878,377,2399959,7577,2586791,0.000649453318803104,0.00048708998910232794,0.00015706134474506903,0.04063715105521439,0.9593628489447856,0.999842938655255,0.0021031491450726617,0.003147201121810847,0.9978968508549273,0.9968527988781891,0.9969251477989525
hex,10,3,10000,39405,1.0496737957000732,0.75,176997,126,2401089,9510,2587722,0.01522767901652496,0.0038644027449625576,5.247343532336755e-05,0.050990043269153434,0.9490099567308465,0.9999475265646767,0.000711370064870175,0.0039450775512642295,0.9992886299351298,0.9960549224487357,0.9962762615149541
hex,10,4,10000,39405,1.6965088844299316,0.75,176872,120,2401095,9635,2587722,0.01522767901652496,0.0038644027449625576,4.997470030796909e-05,0.05166025940045146,0.9483397405995485,0.999950025299692,0.000677996745615621,0.003996714688082033,0.9993220032543844,0.996003285311918,0.996230275122289
hex,10,5,10000,39405,1.9784808158874512,0.75,176838,109,2401106,9669,2587722,0.01522767901652496,0.0038644027449625576,4.5393686113071926e-05,0.05184255818816452,0.9481574418118355,0.9999546063138869,0.0006160036621135142,0.004010743433128351,0.9993839963378864,0.9959892565668717,0.9962213869959756
hex,20,3,7791,10388,44.34472608566284,0.75,178501,163,2400617,8004,2587285,0.0040150196054937895,0.0030112647041203424,6.789460092136722e-05,0.04291573952440953,0.9570842604755905,0.9999321053990786,0.0009123270496574576,0.0033230632797771006,0.9990876729503425,0.996676936720223,0.9968434092108136
hex,20,4,7791,10388,29.280014514923096,0.75,178361,122,2400658,8144,2587285,0.0040150196054937895,0.0030112647041203424,5.0816817867526385e-05,0.04366638964102839,0.9563336103589716,0.9999491831821324,0.0006835384882593861,0.003380933758773033,0.9993164615117406,0.996619066241227,0.9968051451618202
hex,20,5,7791,10388,15.349928379058838,0.75,177349,68,2400712,9156,2587285,0.0040150196054937895,0.0030112647041203424,2.832412799173602e-05,0.04909251762687327,0.9509074823731267,0.9999716758720083,0.0003832778144146277,0.0037993782232055863,0.9996167221855854,0.9962006217767944,0.9964348728493382
hex,30,3,3408,4544,41.33269429206848,0.75,176478,301,2400177,9980,2586936,0.0017565181357405053,0.001317388601805379,0.00012539169282117977,0.053524118031942854,0.9464758819680571,0.9998746083071788,0.0017026909304838245,0.0041408090842214845,0.9982973090695162,0.9958591909157786,0.9960258004063495
hex,30,4,3408,4544,17.721638679504395,0.75,177439,324,2400154,9019,2586936,0.0017565181357405053,0.001317388601805379,0.0001349731178540274,0.04837014233768463,0.9516298576623153,0.999865026882146,0.0018226515079065948,0.003743608283838479,0.9981773484920934,0.9962563917161615,0.9963883915179966
