GridType,SeedSpacing,k,nTrain,Superpixels,Time,TrainingPrSuperpixels,TP,FP,TN,FN,TotalPixels,SuperpixelsProportion,TrainingPrPixels,FPR,FNR,Sensitivity,Specificity,FDR,FOR,Precision,NPV,Accuracy
square,10,3,6195,12390,26.435059547424316,0.5,123370,216,1083768,21406,1228760,0.010083336046095251,0.0050416680230476255,0.00019926493379976087,0.1478559982317511,0.8521440017682489,0.9998007350662003,0.0017477707830984093,0.019368895757591112,0.9982522292169016,0.9806311042424088,0.9824033985481299
square,10,4,6195,12390,8.744642496109009,0.5,123359,132,1083852,21417,1228760,0.010083336046095251,0.0050416680230476255,0.00012177301509985388,0.1479319776758579,0.8520680223241421,0.9998782269849001,0.001068903806755148,0.01937718329203117,0.9989310961932448,0.9806228167079688,0.9824628080341157
square,10,5,6195,12390,18.949612140655518,0.5,123359,132,1083852,21417,1228760,0.010083336046095251,0.0050416680230476255,0.00012177301509985388,0.1479319776758579,0.8520680223241421,0.9998782269849001,0.001068903806755148,0.01937718329203117,0.9989310961932448,0.9806228167079688,0.9824628080341157
square,20,3,1558,3115,17.79307460784912,0.5,123059,183,1083801,21717,1228760,0.002535076011588919,0.001267944920082034,0.00016882168002479742,0.1500041443333149,0.8499958556666851,0.9998311783199753,0.0014848834001395628,0.019644184897939246,0.9985151165998605,0.9803558151020607,0.9821771542042385
square,20,4,1558,3115,14.788201093673706,0.5,123059,183,1083801,21717,1228760,0.002535076011588919,0.001267944920082034,0.00016882168002479742,0.1500041443333149,0.8499958556666851,0.9998311783199753,0.0014848834001395628,0.019644184897939246,0.9985151165998605,0.9803558151020607,0.9821771542042385
square,20,5,1558,3115,14.063031196594238,0.5,122980,138,1083846,21796,1228760,0.002535076011588919,0.001267944920082034,0.00012730815214984724,0.15054981488644525,0.8494501851135547,0.9998726918478501,0.0011208759076658165,0.01971343346218758,0.9988791240923341,0.9802865665378124,0.9821494840326833
square,30,3,708,1416,21.807228326797485,0.5,121210,89,1083895,23566,1228760,0.0011523812624108858,0.0005761906312054429,8.21045329082348e-05,0.1627755981654418,0.8372244018345583,0.9999178954670918,0.0007337241032489963,0.02127930464368497,0.999266275896751,0.978720695356315,0.980748885054852
square,30,4,708,1416,7.640839099884033,0.5,121210,89,1083895,23566,1228760,0.0011523812624108858,0.0005761906312054429,8.21045329082348e-05,0.1627755981654418,0.8372244018345583,0.9999178954670918,0.0007337241032489963,0.02127930464368497,0.999266275896751,0.978720695356315,0.980748885054852
square,30,5,708,1416,9.38097620010376,0.5,121210,89,1083895,23566,1228760,0.0011523812624108858,0.0005761906312054429,8.21045329082348e-05,0.1627755981654418,0.8372244018345583,0.9999178954670918,0.0007337241032489963,0.02127930464368497,0.999266275896751,0.978720695356315,0.980748885054852
square,40,3,374,748,16.19233202934265,0.5,121411,0,1083984,23365,1228760,0.0006087437742114001,0.00030437188710570005,0.0,0.16138724650494557,0.8386127534950545,1.0,0.0,0.02109994229461534,1.0,0.9789000577053847,0.9809848953416452
