h,rmse
2.5,5.789357741060125
7.5,7.009884708177991
12.5,7.234627533851676
17.5,7.2598012153428275
22.5,7.9911532879096105
27.5,9.575074159956602
32.5,9.670746967924007
37.5,8.510272195124278
42.5,10.240416870176814
47.5,10.671819431807464
52.5,9.994304425546318
57.5,10.7485004106694
62.5,13.49279024215032
67.5,15.0511399787682
72.5,16.372853998870415
77.5,16.89828585847447
82.5,19.711199242551274
87.5,22.959129306691587
92.5,22.293098877568163
97.5,26.428528575100376
102.5,24.59830247593823
107.5,29.349423991959384
