h,rmse
2.5,11.909372335822122
7.5,12.346202612403067
12.5,11.946861897072258
17.5,11.84231265178758
22.5,11.032703021143568
27.5,11.001530465683203
32.5,10.037680462681276
37.5,12.185565188666375
42.5,11.042119897014247
47.5,13.18308318179583
52.5,14.612174531808954
57.5,15.195894616793641
62.5,15.767345911019943
67.5,18.83132296439592
72.5,23.206518571950152
77.5,26.52343745514902
82.5,31.51412571212669
87.5,36.682375247715065
92.5,37.8823835075094
97.5,42.740551990296524
102.5,44.215527263461496
107.5,48.30728471211672
