h,rmse
2.5,5.967317347203075
7.5,7.134540022185729
12.5,7.522717797649848
17.5,7.651381968808967
22.5,8.059866073790351
27.5,9.880782724527876
32.5,9.407071372841688
37.5,8.653765349072197
42.5,10.33093343029254
47.5,11.002208391543059
52.5,10.393431935075926
57.5,11.143926527759621
62.5,13.322742906383942
67.5,14.869143775583428
72.5,16.067710959768917
77.5,17.520476873893994
82.5,19.672602473419953
87.5,23.641884437842574
92.5,22.164533239773192
97.5,25.496845680130566
102.5,24.365058900648993
107.5,29.646528797870673
