mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_features,param_n_estimators,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
364.26260749499005,6.698053124659275,3.1965250968933105,1.1019954179830331,auto,100,-16.327725113974246,-14.084927358572617,-17.85353433452369,-16.088728935690185,1.5477809954302455,6
727.5987842082977,12.08776399506609,6.6507636706034345,2.203552781626895,auto,200,-17.324534258506027,-14.047487397734594,-17.473827694774798,-16.281949783671806,1.5811786211882999,10
1095.778832435608,20.822350144719504,9.89838457107544,3.177173125577081,auto,300,-17.4933493056043,-14.037441701440732,-17.219087641713298,-16.24995954958611,1.568487867627386,9
1451.0100027720134,30.083059620165216,13.261845668156942,4.3120776348728835,auto,400,-17.26639985572536,-14.030367069471938,-17.35157751164391,-16.216114812280402,1.5459481890113416,8
1822.839618762334,22.779199257528177,16.599302450815838,5.7363117129305925,auto,500,-17.094608348941755,-14.02542496350045,-17.265394295688285,-16.128475869376828,1.4887151718696054,7
85.87129672368367,1.341629946200321,2.975527366002401,1.2295846842765388,sqrt,100,-11.971383187899935,-14.215709702101464,-10.433599984838555,-12.20689762494665,1.5529946911041912,2
170.9619988600413,4.113297735827388,5.950866142908732,2.442524971036125,sqrt,200,-11.992519967576046,-14.181768872862886,-10.38407859796615,-12.186122479468361,1.5564327387693462,1
256.5817639033,6.517582427639498,9.016097863515219,3.8068428003192905,sqrt,300,-12.103855027901655,-14.18278960097885,-10.630674376820455,-12.30577300190032,1.4571567732156245,4
342.98276114463806,7.642294013316345,12.161553064982096,5.014143744624764,sqrt,400,-12.440912897048689,-14.16958744458019,-10.396973860797239,-12.335824734142038,1.5419545939322663,5
424.22888763745624,10.945824723093539,15.037606795628866,5.835816894489419,sqrt,500,-12.171861113598663,-14.161844094815208,-10.464469533088215,-12.266058247167363,1.5109157239691628,3
